id,WorkDatasetSize,WorkMethodsFrequency,Frequency
505,10GB,PCA,Often
506,100MB,PCA,NA
507,<1MB,PCA,NA
508,10MB,PCA,NA
509,10GB,PCA,Often
510,1GB,PCA,NA
511,NA,PCA,NA
512,10GB,PCA,NA
513,1TB,PCA,NA
514,10GB,PCA,NA
515,10GB,PCA,Often
516,1GB,PCA,NA
517,1GB,PCA,NA
518,10GB,PCA,NA
519,1GB,PCA,Often
520,1GB,PCA,NA
521,10GB,PCA,NA
522,NA,PCA,NA
523,100GB,PCA,NA
524,100MB,PCA,NA
525,10MB,PCA,NA
526,10MB,PCA,NA
527,1TB,PCA,Often
528,100MB,PCA,Often
529,100GB,PCA,NA
530,100MB,PCA,Sometimes
531,10GB,PCA,Most of the time
532,<1MB,PCA,Sometimes
533,NA,PCA,Most of the time
534,1GB,PCA,Most of the time
535,100MB,PCA,Sometimes
536,NA,PCA,Sometimes
537,100MB,PCA,NA
538,100MB,PCA,Most of the time
539,100GB,PCA,NA
540,NA,PCA,NA
541,1GB,PCA,NA
542,100GB,PCA,NA
543,10GB,PCA,NA
544,100GB,PCA,Often
545,10GB,PCA,NA
546,10MB,PCA,Often
547,100MB,PCA,Often
548,NA,PCA,NA
549,10GB,PCA,NA
550,100GB,PCA,Most of the time
551,100MB,PCA,Most of the time
552,1MB,PCA,Often
553,NA,PCA,NA
554,100MB,PCA,NA
555,10GB,PCA,NA
556,100MB,PCA,NA
557,100TB,PCA,NA
558,1GB,PCA,NA
559,10GB,PCA,NA
560,10GB,PCA,Often
561,1TB,PCA,NA
562,100MB,PCA,Often
563,100MB,PCA,Often
564,NA,PCA,NA
565,100GB,PCA,NA
566,<1MB,PCA,Sometimes
567,1GB,PCA,Often
568,NA,PCA,NA
569,NA,PCA,NA
570,10GB,PCA,NA
571,NA,PCA,NA
572,100GB,PCA,NA
573,100MB,PCA,NA
574,10MB,PCA,NA
575,NA,PCA,NA
576,10MB,PCA,NA
577,1GB,PCA,Sometimes
578,NA,PCA,Most of the time
579,1GB,PCA,NA
580,100GB,PCA,Sometimes
581,100MB,PCA,NA
582,1PB,PCA,Sometimes
583,10GB,PCA,Often
584,100GB,PCA,Rarely
585,100MB,PCA,Sometimes
586,10MB,PCA,Often
587,100GB,PCA,NA
588,100GB,PCA,Sometimes
589,100TB,PCA,NA
590,10GB,PCA,Sometimes
591,1GB,PCA,NA
592,100MB,PCA,Sometimes
593,10GB,PCA,Often
594,100MB,PCA,Sometimes
595,1GB,PCA,Most of the time
596,1GB,PCA,Sometimes
597,100MB,PCA,NA
598,100MB,PCA,NA
599,100GB,PCA,NA
600,100GB,PCA,Often
601,1GB,PCA,Most of the time
602,1GB,PCA,Often
603,1GB,PCA,NA
604,<1MB,PCA,Most of the time
605,10GB,PCA,NA
606,10GB,PCA,Often
607,10MB,PCA,Sometimes
608,1GB,PCA,NA
609,10GB,PCA,NA
610,10TB,PCA,NA
611,10GB,PCA,Sometimes
612,1GB,PCA,NA
613,10MB,PCA,Often
614,100MB,PCA,NA
615,NA,PCA,NA
616,1GB,PCA,Often
617,100MB,PCA,Sometimes
618,1GB,PCA,Often
619,100MB,PCA,NA
620,1GB,PCA,Sometimes
621,10GB,PCA,Most of the time
622,1TB,PCA,NA
623,10GB,PCA,NA
624,100MB,PCA,NA
625,<1MB,PCA,NA
626,10TB,PCA,NA
627,1GB,PCA,Sometimes
628,10GB,PCA,NA
629,100MB,PCA,Sometimes
630,NA,PCA,NA
631,100MB,PCA,NA
632,1TB,PCA,Sometimes
633,100MB,PCA,Sometimes
634,100GB,PCA,NA
635,10GB,PCA,NA
636,10GB,PCA,NA
637,1GB,PCA,Often
638,1GB,PCA,NA
639,100GB,PCA,Often
640,1TB,PCA,Most of the time
641,NA,PCA,NA
642,100GB,PCA,Often
643,10GB,PCA,Often
644,1MB,PCA,NA
645,10MB,PCA,Often
646,10GB,PCA,NA
647,100MB,PCA,NA
648,100MB,PCA,NA
649,10GB,PCA,NA
650,10MB,PCA,Sometimes
651,100MB,PCA,NA
652,NA,PCA,NA
653,1GB,PCA,NA
654,10MB,PCA,NA
655,100GB,PCA,NA
656,100MB,PCA,NA
657,1GB,PCA,Sometimes
658,10GB,PCA,NA
659,1TB,PCA,NA
660,100GB,PCA,Sometimes
661,100GB,PCA,Often
662,10GB,PCA,NA
663,100MB,PCA,NA
664,100GB,PCA,NA
665,1GB,PCA,NA
666,10GB,PCA,NA
667,1GB,PCA,NA
668,1TB,PCA,Often
669,10MB,PCA,Often
670,NA,PCA,Most of the time
671,NA,PCA,NA
672,1GB,PCA,Sometimes
673,1MB,PCA,NA
674,10GB,PCA,Often
675,1MB,PCA,NA
676,100GB,PCA,NA
677,10GB,PCA,Often
678,100MB,PCA,Rarely
679,1MB,PCA,NA
680,1GB,PCA,Often
681,100MB,PCA,NA
682,100MB,PCA,Sometimes
683,1GB,PCA,NA
684,10PB,PCA,NA
685,100MB,PCA,NA
686,NA,PCA,NA
687,10TB,PCA,NA
688,10GB,PCA,Often
689,1TB,PCA,NA
690,100PB,PCA,NA
691,<1MB,PCA,NA
692,1GB,PCA,NA
693,1GB,PCA,NA
694,1MB,PCA,Sometimes
695,10GB,PCA,NA
696,10GB,PCA,NA
697,100MB,PCA,Most of the time
698,10GB,PCA,NA
699,10GB,PCA,Sometimes
700,1GB,PCA,NA
701,100MB,PCA,Often
702,100GB,PCA,Often
703,100GB,PCA,Sometimes
704,1GB,PCA,NA
705,100MB,PCA,NA
706,1GB,PCA,NA
707,1GB,PCA,Often
708,100MB,PCA,Often
709,100MB,PCA,Most of the time
710,10GB,PCA,Often
711,100GB,PCA,NA
712,10TB,PCA,NA
713,100MB,PCA,NA
714,NA,PCA,NA
715,1GB,PCA,Sometimes
716,10GB,PCA,Sometimes
717,1GB,PCA,Most of the time
718,10MB,PCA,NA
719,10MB,PCA,NA
720,1TB,PCA,NA
721,100MB,PCA,Often
722,1TB,PCA,Often
723,10GB,PCA,Most of the time
724,10GB,PCA,NA
725,100GB,PCA,Most of the time
726,10GB,PCA,Most of the time
727,10GB,PCA,Sometimes
728,<1MB,PCA,NA
729,100MB,PCA,NA
730,10GB,PCA,NA
731,10GB,PCA,NA
732,1GB,PCA,Most of the time
733,1TB,PCA,Often
734,1GB,PCA,Often
735,1MB,PCA,NA
736,1GB,PCA,NA
737,100GB,PCA,Often
738,1GB,PCA,Often
739,1GB,PCA,NA
740,1GB,PCA,NA
741,100MB,PCA,Often
742,<1MB,PCA,NA
743,10MB,PCA,NA
744,1MB,PCA,Often
745,1TB,PCA,NA
746,<1MB,PCA,NA
747,10TB,PCA,Often
748,NA,PCA,NA
749,10MB,PCA,NA
750,<1MB,PCA,Sometimes
751,10GB,PCA,Often
752,NA,PCA,NA
753,100MB,PCA,Often
754,100GB,PCA,Often
755,10GB,PCA,Often
756,10MB,PCA,NA
757,1GB,PCA,Sometimes
758,10GB,PCA,Sometimes
759,10MB,PCA,NA
760,100MB,PCA,NA
761,100TB,PCA,Sometimes
762,100GB,PCA,NA
763,1GB,PCA,Sometimes
764,1PB,PCA,Sometimes
765,10TB,PCA,Often
766,100MB,PCA,NA
767,10GB,PCA,Often
768,1TB,PCA,Often
769,100MB,PCA,NA
770,1GB,PCA,Sometimes
771,10GB,PCA,NA
772,1GB,PCA,NA
773,100MB,PCA,NA
774,100GB,PCA,NA
775,100MB,PCA,NA
776,1GB,PCA,Sometimes
777,100MB,PCA,Often
778,10MB,PCA,NA
779,1GB,PCA,Sometimes
780,100MB,PCA,Sometimes
781,10GB,PCA,NA
782,100MB,PCA,NA
783,100MB,PCA,NA
784,<1MB,PCA,NA
785,NA,PCA,NA
786,10GB,PCA,Sometimes
787,100MB,PCA,NA
788,10GB,PCA,Sometimes
789,100MB,PCA,NA
790,10GB,PCA,Often
791,1GB,PCA,Often
792,10GB,PCA,Sometimes
793,10GB,PCA,Often
794,10GB,PCA,NA
795,<1MB,PCA,Often
796,100MB,PCA,NA
797,1GB,PCA,Sometimes
798,10MB,PCA,NA
799,10GB,PCA,Often
800,100TB,PCA,Often
801,10GB,PCA,Often
802,100GB,PCA,NA
803,10GB,PCA,Often
804,100MB,PCA,Sometimes
805,10GB,PCA,Sometimes
806,100MB,PCA,NA
807,NA,PCA,NA
808,NA,PCA,Most of the time
809,100GB,PCA,Often
810,1TB,PCA,NA
811,NA,PCA,NA
812,10GB,PCA,Sometimes
813,10GB,PCA,NA
814,1GB,PCA,NA
815,10GB,PCA,NA
816,NA,PCA,NA
817,10GB,PCA,NA
818,100GB,PCA,NA
819,100GB,PCA,NA
820,100GB,PCA,NA
821,10GB,PCA,NA
822,100GB,PCA,NA
823,1TB,PCA,NA
824,1GB,PCA,NA
825,10GB,PCA,Sometimes
826,1TB,PCA,Often
827,10TB,PCA,Most of the time
828,100GB,PCA,NA
829,100GB,PCA,NA
830,10MB,PCA,Often
831,100GB,PCA,Sometimes
832,1GB,PCA,NA
833,1GB,PCA,Often
834,10GB,PCA,Often
835,1GB,PCA,Often
836,1TB,PCA,NA
837,<1MB,PCA,NA
838,10MB,PCA,NA
839,10TB,PCA,NA
840,NA,PCA,NA
841,NA,PCA,NA
842,1MB,PCA,Sometimes
843,10MB,PCA,Rarely
844,10GB,PCA,NA
845,10GB,PCA,NA
846,1GB,PCA,Sometimes
847,NA,PCA,NA
848,1GB,PCA,NA
849,1GB,PCA,NA
850,10GB,PCA,NA
851,1GB,PCA,Often
852,100MB,PCA,NA
853,100MB,PCA,NA
854,100GB,PCA,NA
855,1GB,PCA,NA
856,10GB,PCA,Often
857,100MB,PCA,Most of the time
858,10GB,PCA,NA
859,1MB,PCA,NA
860,100MB,PCA,Often
861,1GB,PCA,NA
862,1TB,PCA,Often
863,100GB,PCA,Most of the time
864,1GB,PCA,Often
865,10GB,PCA,Most of the time
866,10MB,PCA,Often
867,10GB,PCA,Most of the time
868,10MB,PCA,Often
869,10GB,PCA,NA
870,100MB,PCA,NA
871,100GB,PCA,Often
872,1GB,PCA,NA
873,10GB,PCA,Sometimes
874,10GB,PCA,Often
875,1MB,PCA,NA
876,100GB,PCA,NA
877,10MB,PCA,NA
878,100MB,PCA,Most of the time
879,10MB,PCA,Often
880,10MB,PCA,Most of the time
881,100GB,PCA,Often
882,10MB,PCA,Most of the time
883,1GB,PCA,Sometimes
884,10MB,PCA,Sometimes
885,1MB,PCA,Sometimes
886,10GB,PCA,Often
887,NA,PCA,Most of the time
888,100GB,PCA,Sometimes
889,10GB,PCA,NA
890,100MB,PCA,NA
891,1TB,PCA,NA
892,1GB,PCA,Most of the time
893,100MB,PCA,NA
894,<1MB,PCA,Often
895,1GB,PCA,NA
896,NA,PCA,NA
897,<1MB,PCA,NA
898,1GB,PCA,Sometimes
899,100MB,PCA,NA
900,100GB,PCA,Sometimes
901,10MB,PCA,NA
902,100GB,PCA,NA
903,1TB,PCA,Most of the time
904,100MB,PCA,NA
905,NA,PCA,Sometimes
906,NA,PCA,Often
907,10GB,PCA,Often
908,10GB,PCA,NA
909,10GB,PCA,NA
910,1GB,PCA,NA
911,1GB,PCA,NA
912,100GB,PCA,NA
913,1GB,PCA,NA
914,100MB,PCA,NA
915,10TB,PCA,NA
916,1GB,PCA,NA
917,100MB,PCA,NA
918,1GB,PCA,NA
919,10GB,PCA,NA
920,10GB,PCA,NA
921,1GB,PCA,NA
922,10GB,PCA,NA
923,100GB,PCA,Sometimes
924,1GB,PCA,NA
925,10GB,PCA,NA
926,100MB,PCA,NA
927,1TB,PCA,NA
928,1GB,PCA,Sometimes
929,100GB,PCA,Often
930,100MB,PCA,NA
931,10MB,PCA,Rarely
932,10GB,PCA,Often
933,10GB,PCA,NA
934,1GB,PCA,Sometimes
935,1GB,PCA,Most of the time
936,10GB,PCA,NA
937,100GB,PCA,Sometimes
938,NA,PCA,NA
939,10MB,PCA,NA
940,1GB,PCA,Sometimes
941,1GB,PCA,NA
942,100MB,PCA,NA
943,1MB,PCA,NA
944,1GB,PCA,Most of the time
945,10GB,PCA,NA
946,100MB,PCA,Often
947,100MB,PCA,Most of the time
948,10GB,PCA,Sometimes
949,1GB,PCA,NA
950,100GB,PCA,Often
951,1GB,PCA,NA
952,10GB,PCA,Often
953,1TB,PCA,Most of the time
954,10MB,PCA,NA
955,NA,PCA,NA
956,100GB,PCA,Most of the time
957,10GB,PCA,NA
958,100MB,PCA,NA
959,100MB,PCA,Sometimes
960,100GB,PCA,NA
961,NA,PCA,Sometimes
962,<1MB,PCA,Often
963,NA,PCA,Sometimes
964,1TB,PCA,NA
965,NA,PCA,NA
966,10TB,PCA,NA
967,10MB,PCA,Often
968,10GB,PCA,NA
969,1GB,PCA,NA
970,100GB,PCA,Often
971,100MB,PCA,Sometimes
972,100MB,PCA,NA
973,1GB,PCA,NA
974,100MB,PCA,NA
975,10GB,PCA,NA
976,NA,PCA,NA
977,10MB,PCA,NA
978,1TB,PCA,NA
979,10GB,PCA,NA
980,100GB,PCA,NA
981,10GB,PCA,NA
982,10GB,PCA,NA
983,<1MB,PCA,NA
984,1GB,PCA,Sometimes
985,100GB,PCA,Sometimes
986,100MB,PCA,NA
987,10MB,PCA,Sometimes
988,1GB,PCA,Sometimes
989,100MB,PCA,NA
990,1TB,PCA,NA
991,10GB,PCA,NA
992,10GB,PCA,NA
993,10GB,PCA,NA
994,1GB,PCA,Often
995,100MB,PCA,Rarely
996,100MB,PCA,Sometimes
997,1MB,PCA,NA
998,NA,PCA,NA
999,NA,PCA,NA
1000,100MB,PCA,NA
1001,1GB,PCA,Sometimes
1002,1GB,PCA,Often
1003,<1MB,PCA,NA
1004,NA,PCA,NA
1005,100MB,PCA,Often
1006,100MB,PCA,Often
1007,NA,PCA,Often
1008,NA,PCA,Often
1009,10GB,PCA,Often
1010,10GB,PCA,NA
1011,10GB,PCA,NA
1012,10MB,PCA,NA
1013,100MB,PCA,NA
1014,10GB,PCA,NA
1015,<1MB,PCA,NA
1016,<1MB,PCA,NA
1017,100TB,PCA,NA
1018,10GB,PCA,Rarely
1019,10GB,PCA,NA
1020,1MB,PCA,Most of the time
1021,1GB,PCA,NA
1022,1GB,PCA,NA
1023,NA,PCA,NA
1024,100MB,PCA,NA
1025,1TB,PCA,NA
1026,100MB,PCA,Often
1027,1GB,PCA,NA
1028,100MB,PCA,NA
1029,NA,PCA,NA
1030,1GB,PCA,Often
1031,<1MB,PCA,NA
1032,10MB,PCA,NA
1033,NA,PCA,NA
1034,1GB,PCA,NA
1035,1GB,PCA,Most of the time
1036,10MB,PCA,NA
1037,100GB,PCA,Often
1038,100GB,PCA,Often
1039,NA,PCA,NA
1040,1GB,PCA,Often
1041,10GB,PCA,NA
1042,1MB,PCA,NA
1043,10MB,PCA,Often
1044,1GB,PCA,NA
1045,100MB,PCA,Often
1046,1TB,PCA,NA
1047,1GB,PCA,Most of the time
1048,100MB,PCA,NA
1049,100MB,PCA,Often
1050,100MB,PCA,NA
1051,10MB,PCA,NA
1052,100MB,PCA,Sometimes
1053,10GB,PCA,Most of the time
1054,1GB,PCA,Most of the time
1055,100MB,PCA,Often
1056,1GB,PCA,Often
1057,10GB,PCA,NA
1058,1TB,PCA,Most of the time
1059,1GB,PCA,NA
1060,100MB,PCA,Often
1061,10GB,PCA,NA
1062,10GB,PCA,Often
1063,1MB,PCA,NA
1064,10GB,PCA,Most of the time
1065,1GB,PCA,Most of the time
1066,100MB,PCA,Often
1067,1GB,PCA,NA
1068,10GB,PCA,Sometimes
1069,10GB,PCA,Sometimes
1070,100GB,PCA,Sometimes
1071,10GB,PCA,Sometimes
1072,100MB,PCA,NA
1073,10GB,PCA,Rarely
1074,NA,PCA,NA
1075,1GB,PCA,Most of the time
1076,1TB,PCA,NA
1077,100MB,PCA,NA
1078,10GB,PCA,NA
1079,NA,PCA,NA
1080,10MB,PCA,NA
1081,1GB,PCA,NA
1082,100MB,PCA,Most of the time
1083,NA,PCA,NA
1084,1TB,PCA,NA
1085,1GB,PCA,NA
1086,NA,PCA,NA
1087,1GB,PCA,Rarely
1088,1MB,PCA,NA
1089,<1MB,PCA,Often
1090,1GB,PCA,NA
1091,1MB,PCA,NA
1092,10MB,PCA,Most of the time
1093,10MB,PCA,NA
1094,100MB,PCA,Sometimes
1095,1PB,PCA,NA
1096,100GB,PCA,NA
1097,100GB,PCA,NA
1098,1GB,PCA,NA
1099,1GB,PCA,NA
1100,1GB,PCA,NA
1101,10GB,PCA,Sometimes
1102,1GB,PCA,NA
1103,1GB,PCA,Most of the time
1104,1TB,PCA,NA
1105,1GB,PCA,Sometimes
1106,1GB,PCA,NA
1107,NA,PCA,Sometimes
1108,10MB,PCA,NA
1109,1TB,PCA,NA
1110,100MB,PCA,NA
1111,1GB,PCA,NA
1112,1GB,PCA,Most of the time
1113,100MB,PCA,NA
1114,10GB,PCA,NA
1115,10GB,PCA,NA
1116,1GB,PCA,Often
1117,100MB,PCA,NA
1118,10GB,PCA,NA
1119,100MB,PCA,NA
1120,100MB,PCA,NA
1121,100GB,PCA,NA
1122,100MB,PCA,NA
1123,1GB,PCA,NA
1124,NA,PCA,NA
1125,100GB,PCA,NA
1126,100MB,PCA,NA
1127,NA,PCA,NA
1128,10MB,PCA,Often
1129,NA,PCA,NA
1130,1TB,PCA,NA
1131,NA,PCA,NA
1132,1GB,PCA,NA
1133,10MB,PCA,Often
1134,100GB,PCA,Often
1135,10GB,PCA,Sometimes
1136,100MB,PCA,NA
1137,10TB,PCA,NA
1138,1GB,PCA,Often
1139,100MB,PCA,NA
1140,10GB,PCA,NA
1141,100MB,PCA,Often
1142,100MB,PCA,Sometimes
1143,10TB,PCA,NA
1144,10MB,PCA,NA
1145,10GB,PCA,Often
1146,10MB,PCA,NA
1147,100MB,PCA,NA
1148,NA,PCA,NA
1149,NA,PCA,NA
1150,NA,PCA,NA
1151,100MB,PCA,NA
1152,NA,PCA,NA
1153,<1MB,PCA,NA
1154,NA,PCA,NA
1155,NA,PCA,NA
1156,NA,PCA,NA
1157,1TB,PCA,NA
1158,NA,PCA,NA
1159,NA,PCA,NA
1160,NA,PCA,NA
1161,NA,PCA,NA
1162,NA,PCA,NA
1163,100MB,PCA,Often
1164,NA,PCA,NA
1165,1TB,PCA,NA
1166,10GB,PCA,NA
1167,NA,PCA,NA
1168,10GB,PCA,Often
1169,NA,PCA,NA
1170,1GB,PCA,Sometimes
1171,1GB,PCA,Sometimes
1172,100MB,PCA,NA
1173,10GB,PCA,NA
1174,100MB,PCA,NA
1175,100GB,PCA,NA
1176,NA,PCA,NA
1177,1GB,PCA,Sometimes
1178,10MB,PCA,NA
1179,1GB,PCA,Sometimes
1180,1GB,PCA,NA
1181,NA,PCA,NA
1182,10MB,PCA,Sometimes
1183,NA,PCA,NA
1184,1GB,PCA,NA
1185,100GB,PCA,Often
1186,100GB,PCA,Sometimes
1187,NA,PCA,NA
1188,100MB,PCA,NA
1189,10MB,PCA,Often
1190,NA,PCA,NA
1191,NA,PCA,NA
1192,100GB,PCA,Sometimes
1193,1GB,PCA,NA
1194,1GB,PCA,NA
1195,NA,PCA,NA
1196,1TB,PCA,NA
1197,10MB,PCA,Rarely
1198,10GB,PCA,NA
1199,10MB,PCA,Often
1200,1GB,PCA,NA
1201,NA,PCA,NA
1202,NA,PCA,NA
1203,1GB,PCA,NA
1204,10MB,PCA,NA
1205,1GB,PCA,Often
1206,NA,PCA,NA
1207,100GB,PCA,NA
1208,NA,PCA,NA
1209,100MB,PCA,Often
1210,100MB,PCA,NA
1211,10TB,PCA,NA
1212,NA,PCA,NA
1213,NA,PCA,NA
1214,100MB,PCA,NA
1215,100GB,PCA,NA
1216,NA,PCA,NA
1217,10MB,PCA,NA
1218,1GB,PCA,Often
1219,1GB,PCA,NA
1220,100GB,PCA,Sometimes
1221,1GB,PCA,NA
1222,100MB,PCA,NA
1223,100MB,PCA,NA
1224,1GB,PCA,NA
1225,1GB,PCA,NA
1226,10MB,PCA,NA
1227,10GB,PCA,NA
1228,100GB,PCA,Often
1229,NA,PCA,NA
1230,NA,PCA,NA
1231,100GB,PCA,NA
1232,1GB,PCA,NA
1233,100MB,PCA,Sometimes
1234,NA,PCA,Often
1235,1TB,PCA,Most of the time
1236,100MB,PCA,Sometimes
1237,100MB,PCA,Rarely
1238,NA,PCA,NA
1239,1GB,PCA,NA
1240,NA,PCA,NA
1241,NA,PCA,NA
1242,10MB,PCA,NA
1243,100MB,PCA,NA
1244,10TB,PCA,Sometimes
1245,10MB,PCA,Sometimes
1246,10MB,PCA,Often
1247,10MB,PCA,NA
1248,NA,PCA,NA
1249,NA,PCA,NA
1250,10PB,PCA,NA
1251,10TB,PCA,Often
1252,10GB,PCA,NA
1253,1TB,PCA,NA
1254,10MB,PCA,NA
1255,NA,PCA,NA
1256,10MB,PCA,NA
1257,NA,PCA,NA
1258,10MB,PCA,Sometimes
1259,100GB,PCA,NA
1260,NA,PCA,NA
1261,10MB,PCA,NA
1262,100GB,PCA,Most of the time
1263,1MB,PCA,Sometimes
1264,1TB,PCA,Most of the time
1265,NA,PCA,NA
1266,10GB,PCA,NA
1267,NA,PCA,NA
1268,10TB,PCA,Most of the time
1269,NA,PCA,NA
1270,NA,PCA,NA
1271,NA,PCA,NA
1272,NA,PCA,NA
1273,1GB,PCA,NA
1274,NA,PCA,NA
1275,1GB,PCA,NA
1276,10MB,PCA,NA
1277,1GB,PCA,NA
1278,1TB,PCA,NA
1279,NA,PCA,NA
1280,NA,PCA,NA
1281,NA,PCA,NA
1282,100GB,PCA,Most of the time
1283,NA,PCA,NA
1284,1TB,PCA,NA
1285,10MB,PCA,Most of the time
1286,10TB,PCA,NA
1287,NA,PCA,NA
1288,1MB,PCA,NA
1289,NA,PCA,NA
1290,1GB,PCA,NA
1291,NA,PCA,NA
1292,1TB,PCA,Sometimes
1293,100MB,PCA,NA
1294,1GB,PCA,Often
1295,10GB,PCA,NA
1296,100MB,PCA,Rarely
1297,1GB,PCA,NA
1298,NA,PCA,NA
1299,1GB,PCA,Often
1300,100MB,PCA,NA
1301,1GB,PCA,NA
1302,100MB,PCA,NA
1303,1GB,PCA,NA
1304,100MB,PCA,NA
1305,1GB,PCA,NA
1306,1GB,PCA,NA
1307,NA,PCA,NA
1308,100GB,PCA,NA
1309,1GB,PCA,Sometimes
1310,1TB,PCA,Most of the time
1311,NA,PCA,NA
1312,NA,PCA,NA
1313,NA,PCA,NA
1314,1GB,PCA,Most of the time
1315,100MB,PCA,Sometimes
1316,100MB,PCA,Sometimes
1317,NA,PCA,NA
1318,NA,PCA,NA
1319,NA,PCA,NA
1320,100GB,PCA,NA
1321,10TB,PCA,Sometimes
1322,1GB,PCA,NA
1323,NA,PCA,NA
1324,10MB,PCA,NA
1325,100MB,PCA,NA
1326,10GB,PCA,NA
1327,1GB,PCA,NA
1328,1GB,PCA,Often
1329,NA,PCA,NA
1330,10GB,PCA,NA
1331,1TB,PCA,Most of the time
1332,100GB,PCA,NA
1333,100MB,PCA,NA
1334,NA,PCA,NA
1335,10GB,PCA,NA
1336,1GB,PCA,NA
1337,100MB,PCA,NA
1338,10GB,PCA,NA
1339,NA,PCA,NA
1340,100GB,PCA,Most of the time
1341,<1MB,PCA,NA
1342,NA,PCA,NA
1343,NA,PCA,NA
1344,NA,PCA,NA
1345,NA,PCA,NA
1346,1GB,PCA,NA
1347,NA,PCA,NA
1348,1GB,PCA,Sometimes
1349,100MB,PCA,NA
1350,NA,PCA,NA
1351,NA,PCA,NA
1352,10MB,PCA,Most of the time
1353,NA,PCA,NA
1354,100MB,PCA,Sometimes
1355,NA,PCA,NA
1356,1GB,PCA,Often
1357,1GB,PCA,NA
1358,NA,PCA,NA
1359,1GB,PCA,NA
1360,NA,PCA,NA
1361,NA,PCA,NA
1362,1MB,PCA,Often
1363,100GB,PCA,NA
1364,1GB,PCA,NA
1365,100GB,PCA,NA
1366,10MB,PCA,NA
1367,10GB,PCA,NA
1368,100MB,PCA,NA
1369,10GB,PCA,NA
1370,10GB,PCA,Often
1371,1GB,PCA,NA
1372,NA,PCA,NA
1373,10GB,PCA,NA
1374,100TB,PCA,NA
1375,NA,PCA,NA
1376,10MB,PCA,NA
1377,NA,PCA,NA
1378,100MB,PCA,Sometimes
1379,NA,PCA,NA
1380,NA,PCA,NA
1381,10GB,PCA,NA
1382,1TB,PCA,NA
1383,1GB,PCA,NA
1384,1MB,PCA,NA
1385,NA,PCA,NA
1386,1GB,PCA,NA
1387,10GB,PCA,NA
1388,10GB,PCA,Often
1389,NA,PCA,NA
1390,100GB,PCA,NA
1391,NA,PCA,NA
1392,10GB,PCA,NA
1393,NA,PCA,NA
1394,1GB,PCA,NA
1395,NA,PCA,NA
1396,100MB,PCA,Most of the time
1397,100MB,PCA,NA
1398,100MB,PCA,NA
1399,NA,PCA,NA
1400,NA,PCA,NA
1401,NA,PCA,NA
1402,NA,PCA,NA
1403,100GB,PCA,NA
1404,100MB,PCA,Sometimes
1405,1TB,PCA,NA
1406,100MB,PCA,Sometimes
1407,10GB,PCA,NA
1408,10GB,PCA,Sometimes
1409,100MB,PCA,NA
1410,NA,PCA,Sometimes
1411,100MB,PCA,Sometimes
1412,1GB,PCA,NA
1413,1TB,PCA,NA
1414,NA,PCA,NA
1415,NA,PCA,NA
1416,10GB,PCA,Often
1417,1TB,PCA,NA
1418,NA,PCA,NA
1419,10TB,PCA,NA
1420,10TB,PCA,NA
1421,100MB,PCA,NA
1422,1GB,PCA,NA
1423,100MB,PCA,NA
1424,10GB,PCA,Often
1425,1GB,PCA,NA
1426,NA,PCA,NA
1427,1GB,PCA,NA
1428,10MB,PCA,NA
1429,NA,PCA,NA
1430,1GB,PCA,NA
1431,1GB,PCA,NA
1432,NA,PCA,NA
1433,1GB,PCA,NA
1434,10GB,PCA,Often
1435,1GB,PCA,NA
1436,NA,PCA,Often
1437,1GB,PCA,Sometimes
1438,1GB,PCA,Sometimes
1439,NA,PCA,NA
1440,100GB,PCA,Sometimes
1441,NA,PCA,NA
1442,100MB,PCA,NA
1443,100MB,PCA,Often
1444,10GB,PCA,NA
1445,10GB,PCA,NA
1446,100MB,PCA,NA
1447,100MB,PCA,NA
1448,10GB,PCA,Sometimes
1449,1GB,PCA,Sometimes
1450,1GB,PCA,NA
1451,NA,PCA,NA
1452,1GB,PCA,NA
1453,1GB,PCA,Sometimes
1454,100MB,PCA,NA
1455,NA,PCA,Most of the time
1456,1GB,PCA,NA
1457,10GB,PCA,Often
1458,10GB,PCA,Most of the time
1459,10GB,PCA,Rarely
1460,100MB,PCA,NA
1461,100GB,PCA,Rarely
1462,NA,PCA,NA
1463,NA,PCA,NA
1464,NA,PCA,NA
1465,100GB,PCA,NA
1466,NA,PCA,NA
1467,1GB,PCA,NA
1468,1GB,PCA,Rarely
1469,100GB,PCA,Often
1470,NA,PCA,Often
1471,1GB,PCA,NA
1472,10GB,PCA,NA
1473,100MB,PCA,Most of the time
1474,100MB,PCA,NA
1475,NA,PCA,NA
1476,100MB,PCA,NA
1477,<1MB,PCA,NA
1478,NA,PCA,NA
1479,NA,PCA,NA
1480,NA,PCA,NA
1481,100MB,PCA,NA
1482,10MB,PCA,NA
1483,10GB,PCA,NA
1484,1MB,PCA,NA
1485,10MB,PCA,NA
1486,100GB,PCA,NA
1487,NA,PCA,NA
1488,NA,PCA,NA
1489,NA,PCA,NA
1490,1GB,PCA,NA
1491,100MB,PCA,Sometimes
1492,1GB,PCA,NA
1493,<1MB,PCA,NA
1494,1GB,PCA,NA
1495,NA,PCA,Often
1496,1MB,PCA,Often
1497,10GB,PCA,NA
1498,100MB,PCA,Sometimes
1499,NA,PCA,NA
1500,10MB,PCA,NA
1501,1GB,PCA,NA
1502,1GB,PCA,NA
1503,100MB,PCA,NA
1504,1GB,PCA,Most of the time
1505,NA,PCA,NA
